date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:03	37/37	---M--	200	added ('OK')	text/plain	etag:%22c94d0f4d985ec8f5ec2c64caa9aebc5c%22	https://www.nexon.com/robots.txt		(from )
18:06:04	3905/3905	---MCZ	200	added ('OK')	text/html	etag:W/%2263a7aa31d8ba4ba53db510473a7e25d0%22	https://www.nexon.com/maplestory/	C:/My%20Web%20Sites/nexon/www.nexon.com/maplestory/index.html	(from )
18:06:05	377106/377106	---MC-	200	added ('OK')	application/javascript	date:Wed,%2005%20Jun%202024%2015:06:04%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-TQBZGG9	C:/My%20Web%20Sites/nexon/www.googletagmanager.com/gtm67a5.js	(from https://www.nexon.com/maplestory/)
18:06:05	185212/185212	---MCZ	200	added ('OK')	text/css	etag:W/%229a2395b838d4185a76a767f7f99ac9f5%22	https://g.nexonstatic.com/gnt/assets/styles/main.css?v=123	C:/My%20Web%20Sites/nexon/g.nexonstatic.com/gnt/assets/styles/main6040.css	(from https://www.nexon.com/maplestory/)
18:06:06	21230/21230	---M-Z	200	added ('OK')	application/javascript	etag:0x8DC84B084AB1D41	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/My%20Web%20Sites/nexon/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.nexon.com/maplestory/)
18:06:07	1302/1302	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d066c3bd894242ffe79f6f043bf5390%22	https://web.nxfs.nexon.com/nav-lib/dynamic/gnb-lib.js	C:/My%20Web%20Sites/nexon/web.nxfs.nexon.com/nav-lib/dynamic/gnb-lib.js	(from https://www.nexon.com/maplestory/)
18:06:08	114225/114225	---MCZ	200	added ('OK')	application/javascript	etag:W/%22037b34fa2da287c55c89d2b9f94daf80%22	https://g.nexonstatic.com/gnt/assets/js/main.js?v=123	C:/My%20Web%20Sites/nexon/g.nexonstatic.com/gnt/assets/js/main6040.js	(from https://www.nexon.com/maplestory/)
18:06:08	72214/72214	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211a16-LSb0wGBJGsmA0JymhziNNhAlbrc%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js	C:/My%20Web%20Sites/nexon/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/gsap.min.js	(from https://www.nexon.com/maplestory/)
18:06:08	43380/43380	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a974-SJvPbZxp8PKfhx4DI1EMUZeFm/U%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	C:/My%20Web%20Sites/nexon/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/ScrollTrigger.min.js	(from https://www.nexon.com/maplestory/)
18:06:08	21674/21674	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254aa-Kb0Yc/IBsF3xTShqKyRZ2Y8HeWw%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/MotionPathPlugin.min.js	C:/My%20Web%20Sites/nexon/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/MotionPathPlugin.min.js	(from https://www.nexon.com/maplestory/)
18:06:10	9828/9828	---MCZ	200	added ('OK')	application/javascript	etag:W/%222664-eZ6AoUd4jM+uv/YUJ4089bWMl0A%22	https://cdn.jsdelivr.net/npm/gsap@3.12.5/dist/Observer.min.js	C:/My%20Web%20Sites/nexon/cdn.jsdelivr.net/npm/gsap@3.12.5/dist/Observer.min.js	(from https://www.nexon.com/maplestory/)
18:06:10	1748/1748	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ce7b827bab04d6f762e9a43281b07c55%22	http://web.nxfs.nexon.com/maplestory/static/springer.js	C:/My%20Web%20Sites/nexon/web.nxfs.nexon.com/maplestory/static/springer.js	(from https://www.nexon.com/maplestory/)
18:06:11	168175/168175	---MCZ	200	added ('OK')	text/css	etag:W/%22918648c2fe7d7ab2c84e815a7f2c3a1f%22	http://web.nxfs.nexon.com/maplestory/assets/index-341fe9a7.css	C:/My%20Web%20Sites/nexon/web.nxfs.nexon.com/maplestory/assets/index-341fe9a7.css	(from https://www.nexon.com/maplestory/)
18:06:14	45604/45604	---MCZ	200	added ('OK')	application/javascript	etag:W/%22aa4640f72262792efe7fffd2e77f52c5%22	http://web.nxfs.nexon.com/maplestory/assets/polyfills-legacy-41918ac4.js	C:/My%20Web%20Sites/nexon/web.nxfs.nexon.com/maplestory/assets/polyfills-legacy-41918ac4.js	(from https://www.nexon.com/maplestory/)
18:06:15	257665/257665	---MCZ	200	added ('OK')	application/javascript	etag:W/%22763e80fb7d7fd61fc0843a3b6b770790%22	http://web.nxfs.nexon.com/maplestory/assets/index-5ca08f71.js	C:/My%20Web%20Sites/nexon/web.nxfs.nexon.com/maplestory/assets/index-5ca08f71.js	(from https://www.nexon.com/maplestory/)
18:06:16	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2005%20Jun%202024%2015:06:15%20GMT	http://web.nxfs.nexon.com/robots.txt		(from http://web.nxfs.nexon.com/maplestory/assets/index-341fe9a7.css)
18:06:22	181000/181000	---M--	200	added ('OK')	binary/octet-stream	etag:%2238febd1fc9717eb33e1371eae219c13f%22	http://web.nxfs.nexon.com/maplestory/assets/rankings-d20235c0.webp	C:/My%20Web%20Sites/nexon/web.nxfs.nexon.com/maplestory/assets/rankings-d20235c0.webp	(from http://web.nxfs.nexon.com/maplestory/assets/index-341fe9a7.css)
